OBJECTID,ORIGID,CountyName,PopulationCensus16,TimeStamp,IGEasting,IGNorthing,Lat,Long,UGI,ConfirmedCovidCases,PopulationProportionCovidCases,ConfirmedCovidDeaths,ConfirmedCovidRecovered,Shape__Length,Shape__Area
1364,12,Leitrim,32044,4/21/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,56,174.7597054,,,453253.685,4618679673
1365,13,Limerick,194899,4/21/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,420,215.4962314,,,673892.6905,7206726912
1366,14,Longford,40873,4/21/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,102,249.553495,,,315245.1728,3097977869
1367,15,Louth,128884,4/21/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,506,392.6010987,,,352203.5172,2386326963
1368,16,Mayo,130507,4/21/2020 0:00,117679,297355,53.9191,-9.2537,http://data.geohive.ie/resource/county/2ae19629-1443-13a3-e055-000000000001,365,279.6784847,,,2101964.077,16036984139
1369,17,Meath,195044,4/21/2020 0:00,284946,271349,53.6851,-6.715,http://data.geohive.ie/resource/county/2ae19629-1444-13a3-e055-000000000001,550,281.9876541,,,554844.7505,6658570746
1370,18,Monaghan,61386,4/21/2020 0:00,268914,326818,54.1857,-6.9452,http://data.geohive.ie/resource/county/2ae19629-1445-13a3-e055-000000000001,249,405.6299482,,,392803.0473,3768943157
1371,19,Offaly,77961,4/21/2020 0:00,222690,223679,53.2632,-7.6607,http://data.geohive.ie/resource/county/2ae19629-1446-13a3-e055-000000000001,205,262.9519888,,,561440.3786,5558826350
1372,20,Roscommon,64544,4/21/2020 0:00,182029,283486,53.8008,-8.2735,http://data.geohive.ie/resource/county/2ae19629-1447-13a3-e055-000000000001,92,142.5384234,,,622494.1546,7278743876
1373,21,Sligo,65535,4/21/2020 0:00,165130,323355,54.1581,-8.5345,http://data.geohive.ie/resource/county/2ae19629-1449-13a3-e055-000000000001,98,149.5384146,,,682286.8703,5348370378
1374,22,Tipperary,159553,4/21/2020 0:00,205427,154345,52.6407,-7.9206,http://data.geohive.ie/resource/county/2ae19629-144a-13a3-e055-000000000001,327,204.9475723,,,781276.5797,11551196729
1375,23,Waterford,116176,4/21/2020 0:00,234676,105809,52.2035,-7.4935,http://data.geohive.ie/resource/county/2ae19629-144b-13a3-e055-000000000001,122,105.0130836,,,643184.904,4848379555
1376,24,Westmeath,88770,4/21/2020 0:00,238362,255966,53.5524,-7.4219,http://data.geohive.ie/resource/county/2ae19629-144c-13a3-e055-000000000001,395,444.9701476,,,422669.3327,5208705730
1377,25,Wexford,149722,4/21/2020 0:00,301627,141559,52.5164,-6.5037,http://data.geohive.ie/resource/county/2ae19629-144d-13a3-e055-000000000001,137,91.50291874,,,589324.4767,6332221063
1378,26,Wicklow,142425,4/21/2020 0:00,311162,197894,53.0205,-6.3442,http://data.geohive.ie/resource/county/2ae19629-144e-13a3-e055-000000000001,469,329.2961208,,,427539.1986,5580728579
1379,1,Carlow,56932,4/22/2020 0:00,278661,163444,52.7168,-6.8367,http://data.geohive.ie/resource/county/2ae19629-143d-13a3-e055-000000000001,86,151.0574018,,,319348.5725,2432351721
1380,2,Cavan,76176,4/22/2020 0:00,246380,304501,53.9878,-7.2937,http://data.geohive.ie/resource/county/2ae19629-1448-13a3-e055-000000000001,506,664.2512077,,,515954.4965,5575009911
1381,3,Clare,118817,4/22/2020 0:00,133493,182732,52.8917,-8.9889,http://data.geohive.ie/resource/county/2ae19629-1450-13a3-e055-000000000001,206,173.3758637,,,1013948.95,8722541706
1382,4,Cork,542868,4/22/2020 0:00,156242,77860,51.9517,-8.6372,http://data.geohive.ie/resource/county/2ae19629-1451-13a3-e055-000000000001,1096,201.890699,,,2129949.409,19529490886
1383,5,Donegal,159192,4/22/2020 0:00,202615,405691,54.8989,-7.96,http://data.geohive.ie/resource/county/2ae19629-1452-13a3-e055-000000000001,440,276.3957988,,,2145085.774,14624041937
1384,6,Dublin,1347359,4/22/2020 0:00,313762,235813,53.3605,-6.292,http://data.geohive.ie/resource/county/2ae19629-144f-13a3-e055-000000000001,8729,647.8599987,,,449433.5318,2612632655
1385,7,Galway,258058,4/22/2020 0:00,151045,235818,53.3705,-8.7362,http://data.geohive.ie/resource/county/2ae19629-1453-13a3-e055-000000000001,331,128.2657387,,,1972288.286,17079158586
1386,8,Kerry,147707,4/22/2020 0:00,92975,102996,52.1689,-9.565,http://data.geohive.ie/resource/county/2ae19629-1454-13a3-e055-000000000001,271,183.4713318,,,1753779.819,12483603408
1387,9,Kildare,222504,4/22/2020 0:00,281262,221513,53.238,-6.7837,http://data.geohive.ie/resource/county/2ae19629-1455-13a3-e055-000000000001,954,428.756337,,,422182.0368,4726063622
1388,10,Kilkenny,99232,4/22/2020 0:00,253094,148060,52.5816,-7.2175,http://data.geohive.ie/resource/county/2ae19629-1456-13a3-e055-000000000001,227,228.7568526,,,453397.5722,5585391835
1389,11,Laois,84697,4/22/2020 0:00,244211,193996,52.9952,-7.3423,http://data.geohive.ie/resource/county/2ae19629-143e-13a3-e055-000000000001,202,238.4972313,,,398512.4622,4731211499
1390,12,Leitrim,32044,4/22/2020 0:00,200446,319670,54.1261,-7.9939,http://data.geohive.ie/resource/county/2ae19629-143f-13a3-e055-000000000001,62,193.4839596,,,453253.685,4618679673
1391,13,Limerick,194899,4/22/2020 0:00,149743,141780,52.5255,-8.7412,http://data.geohive.ie/resource/county/2ae19629-1440-13a3-e055-000000000001,439,225.2448704,,,673892.6905,7206726912
1392,14,Longford,40873,4/22/2020 0:00,220162,275901,53.7325,-7.6952,http://data.geohive.ie/resource/county/2ae19629-1441-13a3-e055-000000000001,102,249.553495,,,315245.1728,3097977869
1393,15,Louth,128884,4/22/2020 0:00,299463,297349,53.9161,-6.487,http://data.geohive.ie/resource/county/2ae19629-1442-13a3-e055-000000000001,536,415.8778436,,,352203.5172,2386326963
